Name,Category,File,File Name,分类,图标名,标签,Tag
hospital,Health,https://wentin.github.io/IconPark/source/Health/hospital.svg,hospital,医疗健康,医院,"就医, 看病, 就诊, 医疗","medical, doctor, doctor, medical"
bar code,Others,https://wentin.github.io/IconPark/source/Others/bar-code.svg,bar-code,其它,条形码,"条形码, 扫码, 支付, 结账","bar code, scan code, payment, billing"
id card v,Peoples,https://wentin.github.io/IconPark/source/Peoples/id-card-v.svg,id-card-v,人群,身份证,"身份证, ID, 工牌, 卡片","id card, id, work card, the card"
rocket one,Hardware,https://wentin.github.io/IconPark/source/Hardware/rocket-one.svg,rocket-one,硬件,火箭,"飞行器, 推动器, 发射器, 航天器, 宇宙飞船","aircraft, pusher, launchers, spacecraft, spacecraft"
headset,Music,https://wentin.github.io/IconPark/source/Music/headset.svg,headset,声音,耳机,"耳麦, 客服, 耳机","headset, customer service, headset"
speaker,Hardware,https://wentin.github.io/IconPark/source/Hardware/speaker.svg,speaker,硬件,音响,"音乐, 音响, 设备, 声音, 家庭影院","music, audio, equipment, audio, home theater"
thermometer,Others,https://wentin.github.io/IconPark/source/Others/thermometer.svg,thermometer,其它,温度计,"温度计, 测量, 体温, 冷热","thermometer to measure body temperature, hot and cold"
switch track,Operate,https://wentin.github.io/IconPark/source/Operate/switch-track.svg,switch-track,操作,切换轨道,"切换轨道, 切换, 轨道, 线路","switching track switch, the track, the line"
reduce user,Peoples,https://wentin.github.io/IconPark/source/Peoples/reduce-user.svg,reduce-user,人群,减少用户,"减少, 精简, 用户, 人群, 我的, 个人中心, 人","reduction, streamlined, user, crowd, my personal center, people"
trend,Others,https://wentin.github.io/IconPark/source/Others/trend.svg,trend,其它,趋势,"上升, 升高, 上调, 调高, 涨幅","rise, rise, rise, increase, or"
ripple,Others,https://wentin.github.io/IconPark/source/Others/ripple.svg,ripple,其它,波纹,波纹,ripple
funds,Money,https://wentin.github.io/IconPark/source/Money/funds.svg,funds,钱财,基金,"资金, 财务, 成本, 金币, 存款, 储蓄, 金融, 统计","money, finance, cost, gold, deposits, savings, finance, statistics"
switch button,Others,https://wentin.github.io/IconPark/source/Others/switch-button.svg,switch-button,其它,切换按钮,"切换按钮, 开关, 切换, 组合","switching button, switch, switch combination"
disk two,Hardware,https://wentin.github.io/IconPark/source/Hardware/disk-two.svg,disk-two,硬件,U盘2,"U盘, 硬盘, 储存, 硬件, 移动, 保存, 文件, 安全","u disk, hard disk, storage, hardware, move, save, file, security"
washing machine,Hardware,https://wentin.github.io/IconPark/source/Hardware/washing-machine.svg,washing-machine,硬件,洗衣机,"卫生, 打扫, 清除, 干净, 垃圾, 清洗, 洗衣服, 除污渍, 电器","health, clean, clear, clean, garbage, cleaning, laundry, in addition to stains, electrical appliances"
road,Others,https://wentin.github.io/IconPark/source/Others/road.svg,road,其它,道路,"道路, 交通, 运输","road, traffic, transportation"
power supply,Hardware,https://wentin.github.io/IconPark/source/Hardware/power-supply.svg,power-supply,硬件,插头2,"电器, 通电, 断电, 插板, 插座, 插头, 转接头, 充电器","electrical, power, power, card, sockets, plugs, adapters, chargers"
electric iron,Hardware,https://wentin.github.io/IconPark/source/Hardware/electric-iron.svg,electric-iron,硬件,电熨斗,"加热, 电, 烫衣服, 烫印, 烙印","heating, electric, ironing, stamping, branding"
certificate,Others,https://wentin.github.io/IconPark/source/Others/certificate.svg,certificate,其它,证书,证书 安全 级别,certificate security level
local,Others,https://wentin.github.io/IconPark/source/Others/local.svg,local,其它,已定位,"位置, 坐标, 地点","position, coordinates, location"
carousel,Others,https://wentin.github.io/IconPark/source/Others/carousel.svg,carousel,其它,轮播,"轮播, 轮换, 轮转, 头图, 焦点图, 运营图","rotation, rotation, rotate, figs head, focus map, operating fig."
flip camera,Operate,https://wentin.github.io/IconPark/source/Operate/flip-camera.svg,flip-camera,操作,翻转镜头,翻转镜头,flip the lens
chinese medicine,Health,https://wentin.github.io/IconPark/source/Health/chinese-medicine.svg,chinese-medicine,医疗健康,中药,"中医, 煎药, 碗","chinese medicine, medicine, bowl"
buy,Others,https://wentin.github.io/IconPark/source/Others/buy.svg,buy,其它,购买,"购物, 采购, 手提包, 购物袋, 袋子","shopping, purchase, handbags, shopping bags, bags"
audit,Others,https://wentin.github.io/IconPark/source/Others/audit.svg,audit,其它,审核,"印章, 评审, 审查","seal, review, review"
more app,Others,https://wentin.github.io/IconPark/source/Others/more-app.svg,more-app,其它,更多,"更多, 全部, 应用","more, all application"
panorama horizontal,Others,https://wentin.github.io/IconPark/source/Others/panorama-horizontal.svg,panorama-horizontal,其它,全景水平,"水平线, 全景, 拍照, 360度","horizontal, panoramic, photo, 360"
remind disable,Music,https://wentin.github.io/IconPark/source/Music/remind-disable.svg,remind-disable,声音,无效提醒,"闹钟, 提醒, 无效, 时间, 超时","alarm clock, reminders, ineffective, time, overtime"
pull requests,Others,https://wentin.github.io/IconPark/source/Others/pull-requests.svg,pull-requests,其它,推送请求,"推动, 消息, Git","promotion, news, git"
usb,Others,https://wentin.github.io/IconPark/source/Others/usb.svg,usb,其它,数据接口,"USB 设备, 存储, 插口, 接口","usb devices, memory, socket interface"
ranking list,Others,https://wentin.github.io/IconPark/source/Others/ranking-list.svg,ranking-list,其它,排行榜,"排行, 排名, 榜单","ranking, ranking, list"
map two,Others,https://wentin.github.io/IconPark/source/Others/map-two.svg,map-two,其它,地图,"地图, 地点, 地图, 出行, 交通, 运输","map, location, map, travel, transportation, transportation"
hard disk,Hardware,https://wentin.github.io/IconPark/source/Hardware/hard-disk.svg,hard-disk,硬件,硬盘,"储存, 存储, 移动硬盘, store","storage, memory, removable hard disk, store"
dashboard one,Hardware,https://wentin.github.io/IconPark/source/Hardware/dashboard-one.svg,dashboard-one,硬件,仪表盘,"仪表, 速度, 数值, 速度, 计数, 表盘, 统计, 温度, 转动","meter, speed, number, speed, count, dial, statistics, temperature, rotation"
magnet,Operate,https://wentin.github.io/IconPark/source/Operate/magnet.svg,magnet,操作,磁铁,"磁铁, 吸引, 正负极, 磁力, 物理, 电力","magnet for positive and negative, magnetic, physical, power"
keyhole,Others,https://wentin.github.io/IconPark/source/Others/keyhole.svg,keyhole,其它,钥匙孔,钥匙孔,keyhole
sim card,Hardware,https://wentin.github.io/IconPark/source/Hardware/sim-card.svg,sim-card,硬件,储存卡,"移动卡, 卡片, 手机卡, 流量卡, 电话卡, 芯片","mobile cards, cards, phone cards, traffic cards, phone cards, chips"
nintendo switch,Others,https://wentin.github.io/IconPark/source/Others/nintendo-switch.svg,nintendo-switch,其它,任天堂游戏机,"游戏机, 任天堂, 娱乐, 玩啥, 电子游戏, 掌机",", nintendo, entertainment, play han, video games, handheld"
gastrointestinal,Health,https://wentin.github.io/IconPark/source/Health/gastrointestinal.svg,gastrointestinal,医疗健康,肠胃,"内科, 胃, 器官","medicine, stomach, organ"
mac finder,Others,https://wentin.github.io/IconPark/source/Others/mac-finder.svg,mac-finder,其它,访达,访达 文件管理 我的电脑,visit my computer up file management
game console one,Hardware,https://wentin.github.io/IconPark/source/Hardware/game-console-one.svg,game-console-one,硬件,移动游戏机,"游戏机, 游戏手柄","games, game controller"
pinwheel,Others,https://wentin.github.io/IconPark/source/Others/pinwheel.svg,pinwheel,其它,风车,"风车, 风轮, 旋风, 旋转","windmill, wind wheel, cyclone, rotation"
arrow keys,Others,https://wentin.github.io/IconPark/source/Others/arrow-keys.svg,arrow-keys,其它,方向键,方向键 键盘,the keyboard arrow keys
camera three,Hardware,https://wentin.github.io/IconPark/source/Hardware/camera-three.svg,camera-three,硬件,智能摄像头,"摄像, 拍摄, 记录, 录像, 录制, 检测, 探头, 抓拍, 偷拍","camera, filming, recording, video recording, testing, probes, capture, candid"
speaker one,Hardware,https://wentin.github.io/IconPark/source/Hardware/speaker-one.svg,speaker-one,硬件,喇叭,"声音, 音乐, 乐器, 扩音器, 喇叭","sound, music, musical instruments, amplifiers, speakers"
pay code,Others,https://wentin.github.io/IconPark/source/Others/pay-code.svg,pay-code,其它,支付码,"支付, 支付宝, 扫码, 支付, 花钱, 财产","payment, alipay, scan code, payment, money, property"
gps,Others,https://wentin.github.io/IconPark/source/Others/gps.svg,gps,其它,汽车导航,汽车导航,gps
drone one,Hardware,https://wentin.github.io/IconPark/source/Hardware/drone-one.svg,drone-one,硬件,无人机,"飞机, 遥控, 飞行, 航空, 航行, 飞","aircraft, remote control, flying, aviation, sailing, fly"
microwaves,Hardware,https://wentin.github.io/IconPark/source/Hardware/microwaves.svg,microwaves,硬件,微波炉,"加热器, 烹饪机, 做饭","heaters, cooking machine, cooking"
user business,Peoples,https://wentin.github.io/IconPark/source/Peoples/user-business.svg,user-business,人群,商务用户,"用户, 账户, 人, 很多人, 商务, 领带","user accounts, people, a lot of people, business, tie"
signal,Others,https://wentin.github.io/IconPark/source/Others/signal.svg,signal,其它,信号,"信号源, 消息, 来信","signal source, message, letter"
paper money two,Money,https://wentin.github.io/IconPark/source/Money/paper-money-two.svg,paper-money-two,钱财,钞票,"钞票, 钱, 财富, 资金, 投资, 美元","money, money, wealth, money, investment, dollar"
pennant,Others,https://wentin.github.io/IconPark/source/Others/pennant.svg,pennant,其它,三角旗,三角旗 旗帜,pennant banner
sound,Hardware,https://wentin.github.io/IconPark/source/Hardware/sound.svg,sound,硬件,音响,"声音, 音乐, 乐器, 扩音器, 喇叭","sound, music, musical instruments, amplifiers, speakers"
spikedshoes,Sports,https://wentin.github.io/IconPark/source/Sports/spikedshoes.svg,spikedshoes,运动,钉鞋,"鞋子, 跑步, 运动, 训练, 技术, 技巧, 体育, 鞋","shoes, running, sports, training, technology, skills, sports, shoes"
audio file,Office,https://wentin.github.io/IconPark/source/Office/audio-file.svg,audio-file,办公,音频文件,"歌曲, 音乐, 音频, 声音","songs, music, audio, sound"
heavy rain,Weather,https://wentin.github.io/IconPark/source/Weather/heavy-rain.svg,heavy-rain,天气,大雨,"大雨, 下雨, 洪水","rain, rain, floods"
excel,Office,https://wentin.github.io/IconPark/source/Office/excel.svg,excel,办公,数据统计工具,"表格, 文档, 统计, 分析, 汇总","spreadsheets, documents, statistics, analysis, summary"
gymnastics,Sports,https://wentin.github.io/IconPark/source/Sports/gymnastics.svg,gymnastics,运动,体操2,"体操, 运动, 跳舞, 跳动, 活动, 训练, 舞蹈, 挥舞, 舞动, 放松, 热身, 体育","gymnastics, sports, dancing, beating, activities, training, dancing, waving, dancing, relaxing, warm-up, sports"
alarm clock,Time,https://wentin.github.io/IconPark/source/Time/alarm-clock.svg,alarm-clock,时间,闹钟,"倒计时 , 闹钟, 时间","countdown, alarm clock, time"
hourglass,Office,https://wentin.github.io/IconPark/source/Office/hourglass.svg,hourglass,办公,沙漏,"沙子, 时间, 计时","sand, time, time"
time,Time,https://wentin.github.io/IconPark/source/Time/time.svg,time,时间,时间,"钟表, 时间, 倒计时","clocks, time, countdown"
history,Time,https://wentin.github.io/IconPark/source/Time/history.svg,history,时间,历史记录,"历史, 记录, 时光机","history, records, time machine"
radar two,Time,https://wentin.github.io/IconPark/source/Time/radar-two.svg,radar-two,时间,雷达,"雷达, 转动, 扫描, 侦查","radar, rotation, scanning, detection"
text recognition,Office,https://wentin.github.io/IconPark/source/Office/text-recognition.svg,text-recognition,办公,文字识别,"识别, 文字, 字体","recognition, text, font"
riding,Sports,https://wentin.github.io/IconPark/source/Sports/riding.svg,riding,运动,骑自行车,"骑行, 运动, 比赛, 自行车, 冲刺, 两轮车, 轮胎, 速度, 健身, 力量, 体育","riding, sports, games, bicycles, sprint, two-wheelers, tires, speed, fitness, strength, sport"
cloudy,Weather,https://wentin.github.io/IconPark/source/Weather/cloudy.svg,cloudy,天气,多云,"阴天, 云彩, 云朵, 多云","cloudy, clouds, clouds, cloudy"
speed,Time,https://wentin.github.io/IconPark/source/Time/speed.svg,speed,时间,速度,"速率, 速度表, 仪表盘","rate, speedometer, dashboard"
sandstorm,Weather,https://wentin.github.io/IconPark/source/Weather/sandstorm.svg,sandstorm,天气,沙尘暴,"沙尘暴, 浮尘, 大风, 坏天气","dust storms, dust, wind, bad weather"
increase,Office,https://wentin.github.io/IconPark/source/Office/increase.svg,increase,办公,涨幅,"增长, 上升, 提升, 升高","growth, increase, increase, increase"
diving suit,Sports,https://wentin.github.io/IconPark/source/Sports/diving-suit.svg,diving-suit,运动,潜水装,"潜水, 服装, 装备, 潜水服, 衣服, 呼吸, 换气, 眼罩, 体育","diving, clothing, equipment, diving suits, clothes, breathing, ventilation, goggles, sports"
thunderstorm,Weather,https://wentin.github.io/IconPark/source/Weather/thunderstorm.svg,thunderstorm,天气,雷雨,"雷雨, 打雷, 闪电, 下雨","rain, thunder, lightning, rain"
image files,Office,https://wentin.github.io/IconPark/source/Office/image-files.svg,image-files,办公,图片文件,"图片, 图形, 图像, 影相","pictures, graphics, images, shade"
level,Office,https://wentin.github.io/IconPark/source/Office/level.svg,level,办公,级别,"层次, 等级, 高度","level, grade, height"
heartbeat,Sports,https://wentin.github.io/IconPark/source/Sports/heartbeat.svg,heartbeat,运动,心跳,"心跳, 呼吸, 喘气, 心脏, 心电图, 跳动, 心脏, 体育","heartbeat, breathing, breathing, heart, electrocardiogram, beat, heart, sports"
video file,Office,https://wentin.github.io/IconPark/source/Office/video-file.svg,video-file,办公,视频文件,"影视, 影片, 录像, 资料","television, film, video, data"
file search,Office,https://wentin.github.io/IconPark/source/Office/file-search.svg,file-search,办公,文件查找,"查找, 搜索, 检索","find, search, retrieval"
towel,Sports,https://wentin.github.io/IconPark/source/Sports/towel.svg,towel,运动,毛巾,"布, 布料, 浴巾, 毛巾, 手绢, 生活用品, 软, 擦, 洗","cloth, fabric, towels, towels, handkerchiefs, household items, soft, clean, wash"
helmet,Sports,https://wentin.github.io/IconPark/source/Sports/helmet.svg,helmet,运动,头盔,"头盔, 橄榄球头盔, 铁盔, 盔, 护具, 防护, 半盔, 全盔, 帽子, 安全","helmet, football helmet, iron helmet, helmet, goggles, protective, half helmet, full helmet, hats, safety"
muscle,Sports,https://wentin.github.io/IconPark/source/Sports/muscle.svg,muscle,运动,肌肉,"武打, 功夫, 练功, 训练, 习武, 踢脚, 抬腿, 舞蹈, 体操, 放松, 热身, 健身, 健壮, 健康, 力量, 体育","martial arts, kung fu, practice, training, martial arts, kick, leg, dance, gymnastics, relax, warm up, fitness, healthy, health, strength, sport"
badge two,Sports,https://wentin.github.io/IconPark/source/Sports/badge-two.svg,badge-two,运动,徽章,徽章,badge
hockey,Sports,https://wentin.github.io/IconPark/source/Sports/hockey.svg,hockey,运动,曲棍球,"打, 运动, 比赛, 体育, 球类, 球, 进球, 运球, 助攻, 棍球","play, sport, game, sports, ball, ball, goal, dribbling, assists, hockey"
curling,Sports,https://wentin.github.io/IconPark/source/Sports/curling.svg,curling,运动,冰壶,"奥运会, 冰壶, 滑冰, 比赛, 运动, 团队项目, 体育","games, curling, ice skating, games, sports, team projects, sports"
waterpolo one,Sports,https://wentin.github.io/IconPark/source/Sports/waterpolo-one.svg,waterpolo-one,运动,水球1,"运动, 体育, 排球, 水, 训练","sport, sports, volleyball, water, training"
swimming ring,Sports,https://wentin.github.io/IconPark/source/Sports/swimming-ring.svg,swimming-ring,运动,游泳圈,"救生圈, 气球, 游泳, 下水, 安全, 救生, 圈","lifebuoy, balloons, swimming, water, safety, rescue, ring"
editor,Office,https://wentin.github.io/IconPark/source/Office/editor.svg,editor,办公,编辑,"修改, 撰写, 书写, 写作, 抄袭, 文章, 文档, 小说, 合同, 规则, 详情","modify, writing, writing, writing, copying, articles, documents, novels, contracts, rules, details"
rugby one,Sports,https://wentin.github.io/IconPark/source/Sports/rugby-one.svg,rugby-one,运动,橄榄球1,"球类, 球, 运动, 橄榄球, 美式足球, 美式体育","ball, ball, sports, rugby, american football, american sports"
soccer,Sports,https://wentin.github.io/IconPark/source/Sports/soccer.svg,soccer,运动,足球,"踢足球, 足球, 运动, 体育, 运球, 打球, 踢, 跑动, 助攻","football, soccer, sport, sports, dribble, play, kick, run, assists"
permissions,Office,https://wentin.github.io/IconPark/source/Office/permissions.svg,permissions,办公,权限,"限制, 身份, 角色, 账户, 个人中心","restrictions, identity, roles, accounts, individual centers"
gold medal two,Sports,https://wentin.github.io/IconPark/source/Sports/gold-medal-two.svg,gold-medal-two,运动,金牌,金牌 奖牌 第一名,first gold medal
english,Office,https://wentin.github.io/IconPark/source/Office/english.svg,english,办公,英文,"英, 英文, 英语, 西文","english, english, english and spanish"
chess one,Sports,https://wentin.github.io/IconPark/source/Sports/chess-one.svg,chess-one,运动,国际象棋,"象棋, 国际象棋, 西洋象棋, 棋子, 人马, 兵, 卒, 战争, 战场, 对战, 比赛, 智力, 战术, 策略","chess, chess, chess, chess pieces, troops, soldiers, soldier, war, war, war, race, intelligence, tactics, strategy"
volleyball,Sports,https://wentin.github.io/IconPark/source/Sports/volleyball.svg,volleyball,运动,排球,"球类, 球, 排球, 线球, 圆球, 轮子, 运动, 体育","ball, ball, volleyball, wire ball, ball, wheel, sport, sports"
target two,Sports,https://wentin.github.io/IconPark/source/Sports/target-two.svg,target-two,运动,枪靶,"射击, 打靶, 训练, 射, 精准, 射箭, 比赛, 标靶, 准确, 枪战, 扫描","shooting, target practice, training, shooting, accurate, archery, game, target, accurate shooting, scanning"
calendar dot,Time,https://wentin.github.io/IconPark/source/Time/calendar-dot.svg,calendar-dot,时间,日历,"日历, 日期, 时间, 期限, 长期","calendar, date, time, duration, long-term"
skating,Sports,https://wentin.github.io/IconPark/source/Sports/skating.svg,skating,运动,溜冰鞋,"鞋子, 滑冰, 溜冰, 轮滑, 滑行, 滑走, 运动, 训练, 技术, 技巧, 体育","shoes, skating, ice skating, roller skating, sliding, sliding away, sports, training, technology, skills, sports"
optimize,Office,https://wentin.github.io/IconPark/source/Office/optimize.svg,optimize,办公,美化,"魔棒, 优化, 星星, 幸运棒","magic wand, optimization, stars, lucky stick"
font search,Office,https://wentin.github.io/IconPark/source/Office/font-search.svg,font-search,办公,字体搜索,"字体, 检索, 搜索, 查找","fonts, search, search, find"
stopwatch,Time,https://wentin.github.io/IconPark/source/Time/stopwatch.svg,stopwatch,时间,秒表,"倒计时 , 时间, 描边","countdown, time, stroke"
chinese,Office,https://wentin.github.io/IconPark/source/Office/chinese.svg,chinese,办公,中文,"中, 汉语, 汉字, 语文","in chinese, chinese characters, chinese"
watch,Time,https://wentin.github.io/IconPark/source/Time/watch.svg,watch,时间,手表,"电子表, 时间, 时区, 指针, 计时, 手表","electronic timepiece, time, time zone, pointer, chronograph, watches"
format,Office,https://wentin.github.io/IconPark/source/Office/format.svg,format,办公,格式,"类型, 分类, 清除, 刷子","type, category, cleared brush"
add print,Office,https://wentin.github.io/IconPark/source/Office/add-print.svg,add-print,办公,加印,"印记, 印章, 打印, 印刷","stamp, stamp, print, printing"
file ppt,Office,https://wentin.github.io/IconPark/source/Office/file-ppt.svg,file-ppt,办公,ppt文件,"幻灯片, 展示, 预览, 汇报, 演示","slide show, preview, reports, presentations"
big clock,Time,https://wentin.github.io/IconPark/source/Time/big-clock.svg,big-clock,时间,大钟表,"钟表, 时间, 表, 复古","watch, time, watch, retro"
rowing,Sports,https://wentin.github.io/IconPark/source/Sports/rowing.svg,rowing,运动,划船,"滑动, 船, 滑行, 拨动, 前进, 划龙舟, 划水, 体育","slide, boat, slide, toggle, forward, dragon boat, paddle, sports"
rope skipping,Sports,https://wentin.github.io/IconPark/source/Sports/rope-skipping.svg,rope-skipping,运动,跳绳,跳绳 绳子,skipping rope
receive,Office,https://wentin.github.io/IconPark/source/Office/receive.svg,receive,办公,接收库,"收纳, 容纳, 接收, 回收箱","storing, receiving, reception, recovery tank"
transform,Office,https://wentin.github.io/IconPark/source/Office/transform.svg,transform,办公,转变,"转化, 连接, 旋转, 回旋, 回传","conversion, is connected, rotating, swirling, return"
collection files,Office,https://wentin.github.io/IconPark/source/Office/collection-files.svg,collection-files,办公,收藏文件,"收藏, 星星, 评级, 级别","collection, stars, rating, level"
black eight,Sports,https://wentin.github.io/IconPark/source/Sports/black-eight.svg,black-eight,运动,台球黑八,"台球黑八, 运动, 台球, 斯诺克, 桌球","billiards black eight, sports, billiards, snooker, table tennis"
fog,Weather,https://wentin.github.io/IconPark/source/Weather/fog.svg,fog,天气,大雾,"大雾, 雾霾, 云雾","fog, haze, clouds"
checkerboard,Sports,https://wentin.github.io/IconPark/source/Sports/checkerboard.svg,checkerboard,运动,棋盘,棋盘 下棋 围棋,go chess board
instruction,Office,https://wentin.github.io/IconPark/source/Office/instruction.svg,instruction,办公,指令,"代码, 编程, 命令",code programming command
calendar thirty,Time,https://wentin.github.io/IconPark/source/Time/calendar-thirty.svg,calendar-thirty,时间,日历,"日历, 日期, 时间, 期限, 长期","calendar, date, time, duration, long-term"
arena,Sports,https://wentin.github.io/IconPark/source/Sports/arena.svg,arena,运动,竞技场,"竞技场, 拳击, 拳击台, 比赛, 擂台, 摔跤, 体育, 运动, 体育","arena, boxing, boxing ring, race, ring, wrestling, sports, sports, sports"
invalid files,Office,https://wentin.github.io/IconPark/source/Office/invalid-files.svg,invalid-files,办公,失效文件,"失效, 禁用, 无效, 终止","failure, disabled, invalid, termination"
text message,Office,https://wentin.github.io/IconPark/source/Office/text-message.svg,text-message,办公,文字讯息,"音讯, 消息, 文字, 资讯","audio, messages, text, information"
ticket,Office,https://wentin.github.io/IconPark/source/Office/ticket.svg,ticket,办公,券,"饭票, 电影票, 活动票, 门票, 优惠券","meal tickets, movie tickets, event tickets, tickets, coupons"
badminton,Sports,https://wentin.github.io/IconPark/source/Sports/badminton.svg,badminton,运动,羽毛球,"羽毛球, 球类, 球, 运动, 网球, 体育","badminton, ball, ball, sports, tennis, sports"
sun,Weather,https://wentin.github.io/IconPark/source/Weather/sun.svg,sun,天气,太阳,"太阳, 晴朗, 阳光","sun, sunny, sunshine"
skate,Sports,https://wentin.github.io/IconPark/source/Sports/skate.svg,skate,运动,滑板,"板, 滑冰, 溜冰, 轮滑, 滑行, 滑走, 运动, 训练, 技术, 技巧, 体育","board, skating, ice skating, roller skating, sliding, sliding away, sports, training, technology, skills, sports"
waterpolo,Sports,https://wentin.github.io/IconPark/source/Sports/waterpolo.svg,waterpolo,运动,水球,"运动, 体育, 排球, 水, 训练","sport, sports, volleyball, water, training"
sailboat,Sports,https://wentin.github.io/IconPark/source/Sports/sailboat.svg,sailboat,运动,帆船,"船, 舰, 渔船, 港口, 航行, 旅游","boats, ships, boats, ports, navigation, tourism"
moon,Weather,https://wentin.github.io/IconPark/source/Weather/moon.svg,moon,天气,月亮,"夜晚, 月亮, 黑夜, 晚上, 月牙, 黑暗","night, moon, night, night, crescent, dark"
market analysis,Office,https://wentin.github.io/IconPark/source/Office/market-analysis.svg,market-analysis,办公,市场分析,"分析, 数据, 趋势","analysis, data, trends"
treadmill one,Sports,https://wentin.github.io/IconPark/source/Sports/treadmill-one.svg,treadmill-one,运动,跑步机1,"跑步, 运动, 体育, 跑, 慢跑, 健身, 减脂, 瘦身, 训练","running, sports, sports, running, jogging, fitness, fat loss, weight loss, exercise"
soccer one,Sports,https://wentin.github.io/IconPark/source/Sports/soccer-one.svg,soccer-one,运动,足球1,"踢足球, 足球, 运动, 体育, 运球, 过人, 变向, 射门, 打球, 踢, 跑动, 助攻","football, soccer, sport, sports, dribble, extraordinary, change direction, shoot, play, kick, run, assists"
weightlifting,Sports,https://wentin.github.io/IconPark/source/Sports/weightlifting.svg,weightlifting,运动,举重,"运动, 体育, 训练, 举重, 减脂, 重量, 负重, 力量, 比赛, 拉伸","sport, sports, training, weight lifting, fat loss, weight, weight, power, race, stretching"
chess,Sports,https://wentin.github.io/IconPark/source/Sports/chess.svg,chess,运动,西洋棋,"象棋, 国际象棋, 西洋象棋, 棋子, 人马, 兵, 卒, 战争, 战场, 对战, 比赛, 智力, 战术, 策略","chess, chess, chess, chess pieces, troops, soldiers, soldier, war, war, war, race, intelligence, tactics, strategy"
chili,Foods,https://wentin.github.io/IconPark/source/Foods/chili.svg,chili,餐饮,辣椒,"蔬菜, 青椒","vegetables, green pepper"
hot pot one,Foods,https://wentin.github.io/IconPark/source/Foods/hot-pot-one.svg,hot-pot-one,餐饮,火锅,"餐饮, 锅, 美食","catering, pans, dishes"
circus,Build,https://wentin.github.io/IconPark/source/Build/circus.svg,circus,建筑,马戏团,"蒙古包, 营地, 驻扎, 露营","yurt, camp, camping, camping"
women coat,Clothes,https://wentin.github.io/IconPark/source/Clothes/women-coat.svg,women-coat,服饰,女大衣,"大衣, 上衣, 衣服","coats, jackets, clothes"
drink,Foods,https://wentin.github.io/IconPark/source/Foods/drink.svg,drink,餐饮,饮料,"水杯, 果汁, 汽水, 咖啡, 奶茶","cups, fruit juice, soft drinks, coffee, tea"
cake three,Foods,https://wentin.github.io/IconPark/source/Foods/cake-three.svg,cake-three,餐饮,蛋糕,"甜点, 糕点, 甜食, 甜品, 食物, 点心, 下午茶","desserts, pastries, sweets, desserts, food, snacks, afternoon tea"
close wifi,Others,https://wentin.github.io/IconPark/source/Others/close-wifi.svg,close-wifi,其它,关闭无线网络,"Wi-Fi, 无线网, 网络, 信号, 关闭","wi-fi, wireless network, network, signal, closed"
hat,Clothes,https://wentin.github.io/IconPark/source/Clothes/hat.svg,hat,服饰,帽子,帽,cap
filter,Base,https://wentin.github.io/IconPark/source/Base/filter.svg,filter,基础,筛选,"漏斗, 筛选, 过滤","funnel, screening, filtering"
target one,Sports,https://wentin.github.io/IconPark/source/Sports/target-one.svg,target-one,运动,靶标,"射击, 打靶, 训练, 射, 精准, 射箭, 比赛, 标靶, 准确, 枪战","shooting, target practice, training, shooting, accurate, archery, game, target, accurate, shooting"
